datetime,open,high,low,close
2015-09-29T05:00:00.000000000Z,0.69497,0.69852,0.69369,0.69833
2015-09-29T09:00:00.000000000Z,0.69830,0.70081,0.69656,0.70047
2015-09-29T13:00:00.000000000Z,0.70043,0.70240,0.69828,0.69880
2015-09-29T17:00:00.000000000Z,0.69884,0.70024,0.69789,0.69846
2015-09-29T21:00:00.000000000Z,0.69856,0.70205,0.69836,0.70116
2015-09-30T01:00:00.000000000Z,0.70120,0.70208,0.69965,0.70184
2015-09-30T05:00:00.000000000Z,0.70180,0.70384,0.69894,0.70352
2015-09-30T09:00:00.000000000Z,0.70350,0.70377,0.70164,0.70242
2015-09-30T13:00:00.000000000Z,0.70246,0.70347,0.70119,0.70140
2015-09-30T17:00:00.000000000Z,0.70143,0.70218,0.70064,0.70168
2015-09-30T21:00:00.000000000Z,0.70189,0.70212,0.69986,0.70204
2015-10-01T01:00:00.000000000Z,0.70199,0.70623,0.70192,0.70582
2015-10-01T05:00:00.000000000Z,0.70586,0.70740,0.70468,0.70674
2015-10-01T09:00:00.000000000Z,0.70670,0.70847,0.70598,0.70620
2015-10-01T13:00:00.000000000Z,0.70616,0.70815,0.70280,0.70286
2015-10-01T17:00:00.000000000Z,0.70282,0.70366,0.70216,0.70302
2015-10-01T21:00:00.000000000Z,0.70280,0.70464,0.70264,0.70386
2015-10-02T01:00:00.000000000Z,0.70390,0.70555,0.70122,0.70266
2015-10-02T05:00:00.000000000Z,0.70271,0.70516,0.70271,0.70352
2015-10-02T09:00:00.000000000Z,0.70348,0.70706,0.70219,0.70291
2015-10-02T13:00:00.000000000Z,0.70288,0.70464,0.70026,0.70296
2015-10-02T17:00:00.000000000Z,0.70292,0.70572,0.70200,0.70513
2015-10-04T21:00:00.000000000Z,0.70558,0.70586,0.70426,0.70486
2015-10-05T01:00:00.000000000Z,0.70490,0.70806,0.70487,0.70632
2015-10-05T05:00:00.000000000Z,0.70627,0.70948,0.70595,0.70898
2015-10-05T09:00:00.000000000Z,0.70901,0.71112,0.70694,0.70757
2015-10-05T13:00:00.000000000Z,0.70756,0.70904,0.70562,0.70824
2015-10-05T17:00:00.000000000Z,0.70820,0.70986,0.70792,0.70836
2015-10-05T21:00:00.000000000Z,0.70856,0.70888,0.70669,0.70784
2015-10-06T01:00:00.000000000Z,0.70788,0.71345,0.70714,0.71308
2015-10-06T05:00:00.000000000Z,0.71304,0.71304,0.71043,0.71125
2015-10-06T09:00:00.000000000Z,0.71128,0.71238,0.71022,0.71146
2015-10-06T13:00:00.000000000Z,0.71146,0.71566,0.71124,0.71531
2015-10-06T17:00:00.000000000Z,0.71535,0.71754,0.71426,0.71649
2015-10-06T21:00:00.000000000Z,0.71668,0.71668,0.71498,0.71548
